"","X","File.Name","first_author_ep","measured_in_time_series_data_ep","hypothesized_driver_of_change_ep","level_of_analysis_ep","increase_decrease_ep","method.of.estimating_ep","raw.stats_ep","author_nd","measured_in_time_series_data_nd","level_of_analysis_nd","hypothesized_driver_of_change_nd","method_of_estimating_nd","increase_decrease_nd","raw_stats_nd","notes_nd","first_author_ib","measured_in_time_series_data_ib","level_of_analysis_ib","hypothesized_driver_of_change_ib","increase_decrease_ib","method_of_estimating_ib","raw_stats_ib","help_needed_ib","first_author_ps","population.structure._ps","genetic.structure._ps","spatial.structure._ps","genomic.structure._ps","measured_in_time_series_data_ps","hypothesized_driver_of_change_ps","increase_decrease_ps","method_of_estimating_ps","raw_stats_ps","measured_in_time_series_data_gf","level_of_analysis_gf","hypothesized_driver_of_change_gf","increase_decrease_gf","method_of_estimating_gf","raw_stats_gf","author_selection","measured_in_time_series_data_selection","central_question_regarding_selection_selection","outcome_of_central_question_selection","selection_level_of_analysis_selection","selection_hypothesized_driver_of_change_selection.x","selection_method_of_estimating_selection","selection_candidate_gene_list_selection","selection_coefficent_overall_selection","selection_coefficent_meanofoutliers_selection","first_author_last_name_drift","measured_in_time_series_data_drift","level_of_analysis_drift","hypothesized_driver_of_change_drift","method_of_estimating_drift","did_drift_have_effect_drift","raw_stats_drift","help_needed_drift","notes_drift","Author_fst","measured_in_time_series_data_fst","level_of_analysis_fst","hypothesized_diver_of_change_fst","spacetime_or_time_fst","sliding_window_vs_entire_genome_fst","candidate_gene_list_fst","raw_stats_fst","first_auhtor_tajima","measured_in_time_series_data_tajima","level_of_analysis_tajima","hypothesized_driver_of_change_tajima","sliding_window_vs_entire_genome_tajima","raw_stats_tajima","canidate_gene_tajima","help_needed_tajima","first_author_mc","measured_in_time_series_data_mc","level_of_anaylsis_mc","hypothesized_driver_of_change_mc","increase_decrease_mc","method_of_estimating_mc","raw_stats_mc","help_needed_mc","order_parallel","parallel._parallel","author_parallel","measured_in_time_series_data_parallel","evidence_of_parallel_evolution_parallel","snp_evidence_parallel","gene_protein_evidence_parallel","parallel_diversity.change_parallel","notes_parallel","collectedmonth_paperinfo","doi_paperinfo","year_paperinfo","journal_paperinfo","volume_paperinfo","issue_paperinfo","dbs_paperinfo","authors_paperinfo","first_author_paperinfo","keywords_paperinfo","Title_paperinfo","Notes_paperinfo","Type_paperinfo","Study.system_paperinfo","Taxon_paperinfo","Driver.of.change_paperinfo","Data.type_paperinfo","Experimental.design_paperinfo","Time.scale.years_paperinfo","Time.scale.generations_paperinfo","File.Name.1_paperinfo","revised","Driver.of.change.std_paperinfo"
"152",154,"10.1371_journal.pbio.3002333.pdf","shpak","yes","insecticide, anthropogenic","multiple_temporal","none","Bayesian","see notes file","shpak","yes","multiple_temporal","colonization; anthropogenic change","pi","decreased","pi 1800s: 0.00319; pi 1933 0.00260; pi 2010s 0.00234","Has caveats about decrease in diversity: damage in older samples could inflate diversity, and different methods used in modern samples could deflate diversity","shpak","yes","multiple_temporal","increased migration; increasing human activity; anthrogenic; natural evolution","increase; more inbreeding found","proportion of IBD","see notes doc","","Schpak","No","Yes","No","No","yes","range expansion and urbanization; anthropogenic factors","both","PCA and pairwise Fst","see doc",NA,NA,NA,NA,NA,NA,"Shpak","yes","What changes in genomic diversity can be tracked by comparing histroical to modern samples?","Several genes including those related to antiviral resistance & circadian ","multiple_tempotal","natural evolution; increasing human inpact","PBE","yes",NA,NA,"shpak","no",NA,NA,NA,NA,NA,NA,"talks a lot about drift but doesn�t seem to measure it directly","Schpak","yes","multiple temporal","range expansion and urbanization; anthropogenic factors","spacetime","both","yes","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,"Yes","shpak","no",NA,NA,NA,NA,NA,"may","10.1371/journal.pbio.3002333",2023,"PLoS Biology",21,"10-Oct","NA scopus NA","Shpak M.; Ghanavi H.R.; Lange J.D.; Pool J.E.; Stensmyr M.C.","Shpak","","genomes from historical drosophila melanogaster specimens illuminate adaptive and demographic changes across more than 200 years of evolution","","article ","invertebrate","Drosophila melanogaster","natural evolution","WGS","historical","223","8505","10.1371_journal.pbio.3002333.pdf","anthropogenic","anthropogenic"
"153",155,"10.1371_journal.pgen.1006585.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sanchez","yes","Does selection act on the same genes across yeast species?","sometimes but not always","multiple_spatial","nutrient limitation; experimental","allele copy number; microarray-based comparative genomic hybridization (aCGH) followed by WGS","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,"Yes","sanchez","yes","partial",NA,"yes",NA,"Different yeast species evolve tolerance to sulfate-limited culture through mutations in one of two sulfate transporter genes","may","10.1371/journal.pgen.1006585",2017,"PLOS GENET",13,"2","NA scopus wos","Sanchez M.R.; Miller A.W.; Liachko I.; Sunshine A.B.; Lynch B.; Huang M.; Alcantara E.; DeSevo C.G.; Pai D.A.; Tucker C.M.; Hoang M.L.; Dunham M.J.","Sanchez","","differential paralog divergence modulates genome evolution across yeast species","","article","fungus","saccharomyces sp.","experimental","WGS","experimental",NA,"350","10.1371_journal.pgen.1006585.pdf","experimental","experimental"
"154",156,"10.1371_journal.pgen.1009722.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pentz","yes","Can we predict outcomes of experimental evolution on Pseudomonas protegens based on the same experiements in Pseudomonas fluorescens?","Mutated pathways and genes and even protein regions can be predicted but not nucleotides","multiple_temporal","access to O2, colonization of air-liquid interface","novel mutation","yes","figure and table, see notes","figure and table, see notes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,"Yes","pentz","yes","partial","no","yes",NA,"discusses forcasting; Mutated regions in proteins could be predicted in most cases (16/22), but parallelism at the nucleotide level was low and muta- tional hot spot sites were not conserved. ","august","10.1371/journal.pgen.1009722",2021,"",NA,"","","","","","Forecasting of phenotypic and genetic outcomes of experimental evolution in Pseudomonas protegens","","article","bacteria","Pseudomonas protegens","experimental","poolseq","experimental","0.008","7200","10.1371_journal.pgen.1009722.pdf","experimental","experimental"
"155",157,"10.1371_journal.pgen.1011333.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zion","yes","How does ecoli evolve to diminishing resources over long time periods (6 years)?","convergently/in parallel, continuously, with historical contingency","multiple_temporal","diminishing resources","dn/ds, association tests (for historical contingency)","yes","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,"Yes","zion","yes","yes","yes","yes",NA,"adaptation to long term starvation is characterized by remarkably high parallelism and frequent historical contingency; 84% of mutations at last time point occurred in more than one replicate; good example","may","10.1371/journal.pgen.1011333",2024,"PLOS GENET",20,"6","NA scopus wos","Zion S.; Katz S.; Hershberg R.","Zion","","escherichia coli adaptation under prolonged resource exhaustion is characterized by extreme parallelism and frequent historical contingency","","article ","bacteria","escherichia coli","experimental","WGS","experimental","6","26280","10.1371_journal.pgen.1011333.pdf","experimental","experimental"
"157",159,"10.1371_journal.pone.0147549.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Huang","yes","how has parasitism altered gene expression and SNPs in bees?","candidate gene list","multiple temporal","parasitism","dn/ds","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1371/journal.pone.0147549",2016,"",NA,"","","Huang; Qiang; Chen; Yan Ping; Wang; Rui Wu; Cheng; Shang; Evans; Jay D.","Huang","","Host-Parasite Interactions and Purifying Selection in a Microsporidian Parasite of Honey Bees","","article","fungus","Nosema ceranae ","host-pathogen","reduced representation","repeated","6","#N/A","10.1371_journal.pone.0147549.pdf","host-pathogen","host-pathogen"
"158",160,"10.1371_journal.pone.0201838.pdf","hubert","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hubert","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hubert","yes","What genes have experienced selection in Tasmanian devils due to DFTD?","cancer and behavior-related; candidate gene list","multiple_temporal","disease; Devil Face Tumor Disease","signasel","yes",NA,NA,"hubert","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1371/journal.pone.0201838",2018,"",NA,"","","Hubert J.-N.; Zerjal T.; Hospital F.","Hubert","","Cancer- and behavior-related genes are targeted by selection in the Tasmanian devil (Sarcophilus harrisii)","","article","vertebrate","Sarcophilus harrisii","host-pathogen","WGS","historical","15","7.5","10.1371_journal.pone.0201838.pdf","host-pathogen","host-pathogen"
"159",161,"10.1371_journal.ppat.1008298.pdf","pearson","yes","infection","multiple_temporal","increase; increase after infection then stabilize over 17 years","Bayesian Skygrid Plot","see notes file",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pearson","yes","Did selection drive a pathogen towards a commensal relationship?","No, trajectory was largely shaped by drift","multiple_temporal","host-pathogen","SLAC via HyPHY; Tajima's D","no","","","pearson","yes","multiple_temporal","host-pathogen","lineage diversity","yes","drift is predominant force in change over time",NA,NA,"","","","","","","","","pearson",NA,NA,NA,NA,NA,NA,NA,"pearson","yes","single","chronic infection; natural evolution",NA,"beast; steping stone analysis","see notes doc",NA,174,"Yes","pearson","no",NA,NA,NA,NA,NA,"august","10.1371/journal.ppat.1008298",2020,"",NA,"","","Pearson T.; Sahl J.W.; Hepp C.M.; Handady K.; Hornstra H.; Vazquez A.J.; Settles E.; Mayo M.; Kaestli M.; Williamson C.H.D.; Price E.P.; Sarovich D.S.; Cook J.M.; Wolken S.R.; Bowen R.A.; Tuanyok A.; Foster J.T.; Drees K.P.; Kidd T.J.; Bell S.C.; Currie B.J.; Keim P.","Pearson","","Pathogen to commensal? Longitudinal within-host population dynamics; evolution; and adaptation during a chronic >16-year Burkholderia pseudomallei infection","","article","bacteria","Burkholderia pseudomallei","host-pathogen","WGS","repeated","16","171624.4898","10.1371_journal.ppat.1008298.pdf","host-pathogen","host-pathogen"
"160",162,"10.1371_journal.ppat.1009744.pdf",NA,NA,NA,NA,NA,NA,NA,"tohma","yes","multiple_temporal","host-pathogen","site-by-site Shannon entropy","increased","see document","Data hard to extract, not really comparable methods to other studies",NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tohma","yes","How have noroviruses evolved since the 1970s?","diversifying selection leads to new variants","multiple_temporal","epidemic","MEME, FUBAR, HyPhy, Datamonkey","yes","","","tohma","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"tohoma","yes","single","recombination restriction; natural evolution",NA,"tempest,beast","see notes doc",NA,175,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1371/journal.ppat.1009744",2021,"PLOS PATHOG",17,"7","NA NA wos","Tohma; K; Lepore; CJ; Martinez; M; Degiuseppe; JI; Khamrin; P; Saito; M; Mayta; H; Nwaba; AUA; Ford-Siltz; LA; Green; KY; Galeano; ME; Zimic; M; Stupka; JA; Gilman; RH; Maneekarn; N; Ushijima; H; Parra; GI","Tohma","","genome-wide analyses of human noroviruses provide insights on evolutionary dynamics and evidence of coexisting viral populations evolving under recombination constraints","","article","virus","Norovirus","natural evolution","WGS","historical","47","4,765","10.1371_journal.ppat.1009744.pdf","host-pathogen","host-pathogen"
"161",163,"10.1371_journal.ppat.1010993.pdf","carrasquilla","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"carrasquilla",NA,NA,NA,NA,NA,NA,NA,"Carrasquilla","Yes","Yes","No","Yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"carrasquilla","yes","How has malaria in humans (Plasmodium falciparum) evolved in response to antimalarial drugs?","candidate gene list","multiple_temporal","antibiotics"," intra-chro- mosomal IBD and an analysis of haplotypic variation","yes",NA,NA,"carrasquilla","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,"Yes","carrasquilla","no",NA,NA,NA,NA,"notes that mutations associated with drug resistance emerge in wild populations but isn't an explicit test of paralellism","may","10.1371/journal.ppat.1010993",2022,"PLOS PATHOG",18,"12","NA NA wos","Carrasquilla; M; Early; AM; Taylor; AR; Ospina; AK; Echeverry; DF; Anderson; TJC; Mancilla; E; Aponte; S; C√°rdenas; P; Buckee; CO; Rayner; JC; S√°enz; FE; Neafsey; DE; Corredor; V","Carrasquilla","","resolving drug selection and migration in an inbred south american plasmodium falciparum population with identity-by-descent analysis","","article ","protozoa","Plasmodium falciparum","drug resistance; anthropogenic","WGS","repeated","24","4370","10.1371_journal.ppat.1010993.pdf","host-pathogen","host-pathogen"
"162",164,"10.1371_journal.ppat.1012090.pdf","yu","yes","epidemic","multiple_temporal","both; change in strain proportion of population over time","developed their own method;","see notes file",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yu","Yes","No","Yes","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yu","yes","Does background selection drive the reduction in effective population size in SARS-CoV-2?","no,, drift","multiple_temporal","host-pathogen","simulation","no","","","yu","yes","multiple_temporal","host-pathogen","hidden markov model; inference from Ne; Wright-Fisher simulations","yes","the  inferred scaled effective population size was 20 to 590 times lower than expected given a null SIR model, suggesting drift has a big effect",NA,"good example for drift section","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1371/journal.ppat.1012090",2024,"",NA,"","","Yu Q.; Ascensao J.A.; Okada T.; Boyd O.; Volz E.; Hallatschek O.","Yu","","Lineage frequency time series reveal elevated levels of genetic drift in SARS-CoV-2 transmission in England","","article","virus","Covid-19 virus","natural evolution","WGS","historical","1.75","127.75","10.1371_journal.ppat.1012090.pdf","host-pathogen","host-pathogen"
"163",165,"10.15252_msb.20188462.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"guzm�n","yes","How does ancestral  enzyme function impact how bacteria adapts to novel substrates?","promiscuous activities in ancestral enzyme functions are altered to be involved in adaptation to novel substrate","multiple_temporal","substrate","novel mutations; Individual mutant growth test","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,"Yes","guzman","yes","yes",NA,"yes",NA,"song signs of parallel evolution were observed at the level of mutated genes in the replicate experiments","august","10.15252/msb.20188462",2019,"",NA,"","","Guzm√°n G.I.; Sandberg T.E.; LaCroix R.A.; Nyerges √Å.; Papp H.; de Raad M.; King Z.A.; Hefner Y.; Northen T.R.; Notebaart R.A.; P√°l C.; Palsson B.O.; Papp B.; Feist A.M.","Guzm√°n","","Enzyme promiscuity shapes adaptation to novel growth substrates","","article","bacteria","E coli","experimental","WGS","experimental","#N/A","350 or 20","10.15252_msb.20188462.pdf","experimental","experimental"
"165",167,"10.1534_g3.117.043349.pdf","barghi","yes",NA,"multiple_spatial",NA,"J�n�s et al 2016","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barghi","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"barghi","yes","Is Drosophila simulans better suited than D. melanogaster for E&R studies that aim to charcterize the genomic archetecture of an adaptive response, since D. simulans does not have segregating inversions and has higher recombination rates?","yes","multiple_temporal","heat; experimental","CMH","no",NA,NA,"barghi","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,"Yes","barghi","no",NA,NA,NA,NA,"important discussion of false positives","may","10.1534/g3.117.043349",2017,"G3: Genes; Genomes; Genetics",7,"7","er","Barghi N.; Tobler R.; Nolte V.; Schl√∂tterer C.","Barghi","Chromosomal; Drosophila; Drosophila; Evolution; Evolve and; Experimental; Inversions; Melanogaster; Resequence; Simulans","drosophila simulans: a species with improved resolution in evolve and resequence studies","","article ","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"60","10.1534_g3.117.043349.pdf","experimental","experimental"
"166",168,"10.1534_genetics.112.143396.pdf","strelkowa","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strelkowa","yes","Does clonal interference, a mode of evolution characterized by recurrent selective sweeps, shape influenza genetic diversity and evolutionary patterns?","yes","multiple_temporal","epidemic"," frequency propa- gator method","","","","strelkowa","no",NA,NA,NA,NA,NA,NA,"says drift is a minor contributor, focus is on selection","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1534/genetics.112.143396",2012,"",NA,"","","Strelkowa; Natalja; Laessig; Michael","Strelkowa","","Clonal Interference in the Evolution of Influenza","","article","virus","Influenza virus","host-pathogen","reduced representation","historical","39","4592","10.1534_genetics.112.143396.pdf","host-pathogen","host-pathogen"
"167",169,"10.1534_genetics.118.301824.pdf","kelly","yes",NA,"single",NA,"Kelly et al 2013; equation that uses the observed vriance in divergence to estimate Ne","440.9","kelly","no",NA,NA,NA,NA,NA,NA,"kelly",NA,NA,NA,NA,NA,NA,NA,"Kelly","Yes","No","Yes","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kelly","yes","How does selection act in replicate populations of Drosophila?","evidence of parallel balancing selection","multiple_temporal","lab adaptation","likelihood/mer","yes",NA,NA,"kelly","yes","multiple_temporal","experimental evolution; breeding in captivity","models of allele frequency changes","no","results suggest that hitchiking more important than drift, and hitchiking stronger than selection, but drift not quantified",NA,NA,"Kelly","no",NA,NA,NA,NA,NA,NA,"kelly","yes","multiple_spatial","genetic isolation; experimental evolution","snp","For our selected SNPs, Tajima�s D = 4.88 (using the median ancestral read depth of 324 for n)","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,182,"Yes","kelly","yes","yes","yes",NA,NA,"parallel evolution of 138 snps across genome; fewer sites report significant heterogenous selection; maybe useful for methods","may","10.1534/genetics.118.301824",2019,"Genetics",211,"3","er","Kelly J.K.; Hughes K.A.","Kelly","Drosophila simulans; Evolve-and-resequence; Genomics","pervasive linked selection and intermediate-frequency alleles are implicated in an evolve-and-resequencing experiment of drosophila simulans","Time scale generation calculated from https://doi.org/10.1016/B978-012158861-8/50007-7","article","invertebrate","Drosophila simulans","experimental","poolseq","experimental",NA,"15","10.1534_genetics.118.301824.pdf","experimental","experimental"
"168",170,"10.3201_eid1909.130377.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mann","yes","How has West Nile Virus changed from 2002-2012","4 genetic groups distinct from historical strains have emerged","multiple temporal","natural processes","dn/ds","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"mann",NA,NA,NA,NA,NA,NA,NA,183,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.3201/eid1909.130377",2013,"EMERG INFECT DIS",19,"9","NA NA wos","Mann; BR; McMullen; AR; Swetnam; DM; Salvato; V; Reyna; M; Guzman; H; Bueno; R; Dennett; JA; Tesh; RB; Barrett; ADT","Mann","","continued evolution of west nile virus; houston; texas; usa; 2002-2012","","article ","virus","West Nile virus","host-pathogen","WGS","historical","10",NA,"10.3201_eid1909.130377.pdf","host-pathogen","host-pathogen"
"170",172,"10.3390_genes11040400.pdf","r�go","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rego","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"r�go","yes","How does selection act on seed beeltes when they are forced to adapt to a marginal host plant?","adult weight, development time, detoxification genes","multiple_temporal","symbioses","allele frequency change","yes",NA,NA,"rego","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,"Yes","rego","yes","partial","partial",NA,NA,"we detected modest parallelism in allele frequency change across replicate lines during adaptation to lentil; good example for parallel evolution","may","10.3390/genes11040400",2020,"Genes",11,"4","er","R√™go A.; Chaturvedi S.; Springer A.; Lish A.M.; Barton C.L.; Kapheim K.M.; Messina F.J.; Gompert Z.","R√™go","Callosobruchus maculatus; Detoxification; Experimental evolution; Gene expression; Genome-wide association mapping; Host shift; Parallel evolution; Plant-insect interaction; Population genomics","combining experimental evolution and genomics to understand how seed beetles adapt to a marginal host plant","","article ","invertebrate","Callosobruchus maculatus","host-pathogen","poolseq","experimental","","108","10.3390_genes11040400.pdf","experimental","experimental"
"175",177,"10.7554_eLife.64971.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dom��nguez-andr�s","yes","How did immune genes evolve in ancient European populations?","strongly during the Neolithic","multiple_temporal","social changes among ancient humans","GWAS, QTLs","yes","","","dominguez-andres","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","Dominguez-Andres","yes","multiple temporal","pathogens","time","genomewide","yes","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.7554/eLife.64971",2021,"eLife",10,"","NA scopus NA","Dom√≠nguez-Andr√©s J.; Kuijpers Y.; Bakker O.B.; Jaeger M.; Xu C.-J.; Van der Meer J.W.M.; Jakobsson M.; Bertranpetit J.; Joosten L.A.B.; Li Y.; Netea M.G.","Dom√≠nguez-Andr√©s","","evolution of cytokine production capacity in ancient and modern european populations","uses published data; assumed generation time 30 years ","article","vertebrate","Homo sapiens","natural evolution","WGS","historical","25000","833.3333333","10.7554_eLife.64971.pdf","anthropogenic","anthropogenic"
